symbol,code,exchange,name,fund_type,settlement,snapshot_date,source_data_date,source_update_time,last_price,spot_volume_lots,spot_amount,total_market_value,float_market_value,history_end_date
SZ159588,159588,SZ,石油ETF景顺,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:27+08:00,1.245,141313,17573207.8,558114656,558114656,2026-08-11
SZ159589,159589,SZ,红利ETF广发,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:09+08:00,1.095,64191,7048852.7,276586055,276586055,2026-08-11
SZ159590,159590,SZ,软件ETF汇添富,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:48+08:00,0.938,801647,75284459.3,695866316,695866316,2026-08-11
SZ159591,159591,SZ,A50ETF富国,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:51+08:00,1.402,160342,22611044.6,472341763,472341763,2026-08-11
SZ159592,159592,SZ,A50ETF银华,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:12+08:00,1.371,121136,16680632.372,836735646,836735646,2026-08-11
SZ159593,159593,SZ,中证A50ETF平安,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:54+08:00,1.387,484923,67667682.309,2645280919,2645280919,2026-08-11
SZ159595,159595,SZ,中证A50ETF大成,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:57+08:00,1.396,519362,72714945.0,1234222094,1234222094,2026-08-11
SZ159596,159596,SZ,A50ETF华宝,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:12+08:00,0.663,167370,11161681.9,341897856,341897856,2026-08-11
SZ159597,159597,SZ,创业板成长ETF易方达,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:06+08:00,0.818,574514,47285465.276,810439337,810439337,2026-08-11
SZ159599,159599,SZ,芯片ETF东财,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:09+08:00,2.898,613501,179263097.1,1925205341,1925205341,2026-08-11
SZ159601,159601,SZ,A50ETF华夏,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:03+08:00,1.142,593996,68296385.3,1615002787,1615002787,2026-08-11
SZ159602,159602,SZ,中国A50ETF南方,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:15+08:00,1.106,41175,4588985.716,454060496,454060496,2026-08-11
SZ159603,159603,SZ,科创创业ETF天弘,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:18+08:00,1.739,73562,12880692.3,4365015069,4365015069,2026-08-11
SZ159606,159606,SZ,中证500成长ETF易方达,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:21+08:00,1.37,94870,13086653.993,537345280,537345280,2026-08-11
SZ159608,159608,SZ,稀有金属ETF广发,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:24+08:00,1.12,1758650,200755879.8,3898507272,3898507272,2026-08-11
SZ159609,159609,SZ,光伏ETF浦银,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:18+08:00,0.505,102170,5155091.903,156501221,156501221,2026-08-11
SZ159610,159610,SZ,中证500增强ETF景顺,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:27+08:00,1.28,35410,4555759.692,214487305,214487305,2026-08-11
SZ159611,159611,SZ,电力ETF广发,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:15+08:00,1.069,6461090,690496079.869,10617268319,10617268319,2026-08-11
SZ159613,159613,SZ,信息安全ETF嘉实,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:06+08:00,0.899,79534,7178226.8,108410605,108410605,2026-08-11
SZ159616,159616,SZ,农牧ETF建信,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:21+08:00,0.801,131965,10662247.0,54917451,54917451,2026-08-11
SZ159617,159617,SZ,中证500价值ETF华夏,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:24+08:00,1.381,23324,3252294.967,42007786,42007786,2026-08-11
SZ159618,159618,SZ,光伏ETF华安,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:09+08:00,0.684,18922,1292318.3,52073882,52073882,2026-08-11
SZ159619,159619,SZ,基建ETF国泰,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:30+08:00,0.953,19996,1915979.8,73362900,73362900,2026-08-11
SZ159620,159620,SZ,中证500成长ETF华夏,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:12+08:00,1.303,55393,7243970.8,40576637,40576637,2026-08-11
SZ159621,159621,SZ,ESGETF国泰,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:27+08:00,1.177,42933,5080489.4,16989662,16989662,2026-08-11
SZ159622,159622,SZ,创新药ETF东财,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:18+08:00,1.213,1859861,228044781.425,1565501720,1565501720,2026-08-11
SZ159623,159623,SZ,成渝经济圈ETF博时,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:33+08:00,1.004,75104,7551069.5,3094600783,3094600783,2026-08-11
SZ159625,159625,SZ,绿色电力ETF嘉实,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:21+08:00,1.234,320660,39553372.1,2506641200,2506641200,2026-08-11
SZ159627,159627,SZ,A100ETF华夏,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:36+08:00,1.325,26529,3537400.6,25329728,25329728,2026-08-11
SZ159628,159628,SZ,国证2000ETF万家,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:36+08:00,1.395,552174,77408475.3,484460131,484460131,2026-08-11
SZ159629,159629,SZ,中证1000ETF富国,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:15+08:00,3.215,1242423,400939407.538,2762497289,2762497289,2026-08-11
SZ159630,159630,SZ,A100ETF汇添富,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:24+08:00,1.403,2163,302906.7,21204583,21204583,2026-08-11
SZ159631,159631,SZ,A100ETF招商,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:39+08:00,1.272,14697,1877026.2,50031074,50031074,2026-08-11
SZ159633,159633,SZ,中证1000ETF易方达,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:33+08:00,3.286,3339280,1101318844.632,4508926488,4508926488,2026-08-11
SZ159635,159635,SZ,基建ETF华夏,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:27+08:00,1.012,224329,22841102.6,132417144,132417144,2026-08-11
SZ159636,159636,SZ,港股通科技30ETF工银,指数型-股票,T+1,2026-08-11,20260811,2026-08-11T15:34:42+08:00,0.541,3828852,210008651.757,12340481106,12340481106,2026-08-11
