symbol,code,exchange,name,fund_type,settlement,snapshot_date,source_data_date,source_update_time,last_price,spot_volume_lots,spot_amount,total_market_value,float_market_value,history_end_date
SZ159621,159621,SZ,ESGETF国泰,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:51+08:00,1.178,4284,503751.2,17004097,17004097,2026-08-10
SZ159622,159622,SZ,创新药ETF东财,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:54+08:00,1.206,794509,95992404.59,1520287498,1520287498,2026-08-10
SZ159623,159623,SZ,成渝经济圈ETF博时,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:57+08:00,1.009,19738,1986370.3,3110012141,3110012141,2026-08-10
SZ159625,159625,SZ,绿色电力ETF嘉实,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:48+08:00,1.223,134680,16489290.9,2481361548,2481361548,2026-08-10
SZ159627,159627,SZ,A100ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:18+08:00,1.334,14597,1941462.1,25501779,25501779,2026-08-10
SZ159628,159628,SZ,国证2000ETF万家,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:51+08:00,1.415,425557,59981500.0,470180796,470180796,2026-08-10
SZ159629,159629,SZ,中证1000ETF富国,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:33+08:00,3.257,633435,205403126.3,2805099901,2805099901,2026-08-10
SZ159630,159630,SZ,A100ETF汇添富,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:21+08:00,1.402,1190,166169.8,21189469,21189469,2026-08-10
SZ159631,159631,SZ,A100ETF招商,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:54+08:00,1.28,2897,369676.5,50345734,50345734,2026-08-10
SZ159633,159633,SZ,中证1000ETF易方达,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:27+08:00,3.329,1373830,455427475.528,4361531482,4361531482,2026-08-10
SZ159635,159635,SZ,基建ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:03+08:00,1.011,151989,15330260.1,132286297,132286297,2026-08-10
SZ159637,159637,SZ,新能源车ETF东财,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:24+08:00,0.839,716835,60089603.8,585427433,585427433,2026-08-10
SZ159638,159638,SZ,高端装备ETF嘉实,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:30+08:00,0.854,176608,14961753.2,1262504013,1262504013,2026-08-10
SZ159639,159639,SZ,碳中和ETF南方,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:09+08:00,0.983,10659,1046238.04,199834238,199834238,2026-08-10
SZ159640,159640,SZ,碳中和龙头ETF工银,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:27+08:00,0.96,337,32358.4,56491390,56491390,2026-08-10
SZ159641,159641,SZ,碳中和ETF招商,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:30+08:00,1.02,1535,156194.634,88453514,88453514,2026-08-10
SZ159642,159642,SZ,碳中和ETF大成,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:36+08:00,0.966,207,19996.2,21676966,21676966,2026-08-10
SZ159643,159643,SZ,疫苗ETF国泰,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:12+08:00,0.585,38210,2245536.56,142968511,142968511,2026-08-10
SZ159645,159645,SZ,疫苗ETF富国,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:39+08:00,0.653,6752,439601.3,36268103,36268103,2026-08-10
SZ159647,159647,SZ,中药ETF鹏华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:15+08:00,0.923,412601,38227491.1,1052646204,1052646204,2026-08-10
SZ159652,159652,SZ,有色ETF汇添富,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:36+08:00,1.682,1651424,277554166.6,3307350724,3307350724,2026-08-10
SZ159653,159653,SZ,ESG300ETF国联安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:18+08:00,1.211,110,13299.4,67782174,67782174,2026-08-10
SZ159656,159656,SZ,沪深300成长ETF万家,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:48+08:00,1.25,36971,4599853.5,292798064,292798064,2026-08-10
SZ159657,159657,SZ,疫苗ETF鹏华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:21+08:00,0.631,8590,544332.8,98760851,98760851,2026-08-10
SZ159658,159658,SZ,数字经济ETF华安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:39+08:00,1.837,6675,1219160.8,78797889,78797889,2026-08-10
SZ159661,159661,SZ,A100ETF嘉实,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:00+08:00,1.461,22053,3215983.8,39751199,39751199,2026-08-10
SZ159662,159662,SZ,交运ETF南方,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:45+08:00,0.975,80965,7913675.2,85911097,85911097,2026-08-10
SZ159663,159663,SZ,机床ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:03+08:00,1.047,431025,44828943.0,447105821,447105821,2026-08-10
SZ159665,159665,SZ,半导体龙头ETF工银,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:33+08:00,2.557,136447,34530317.6,622826031,622826031,2026-08-10
SZ159666,159666,SZ,交通运输ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:06+08:00,0.971,133422,12980637.3,124125751,124125751,2026-08-10
SZ159667,159667,SZ,工业母机ETF国泰,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:27+08:00,0.702,1180242,82127699.7,2746259605,2746259605,2026-08-10
SZ159669,159669,SZ,绿色电力ETF国泰,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:48+08:00,1.128,17698,1994946.2,233783393,233783393,2026-08-10
SZ159670,159670,SZ,消费50ETF国联安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:36+08:00,0.872,30229,2651103.8,48576435,48576435,2026-08-10
SZ159671,159671,SZ,稀有金属ETF工银,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:39+08:00,1.396,387612,54131980.9,1250888235,1250888235,2026-08-10
SZ159672,159672,SZ,消费ETF博时,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:51+08:00,0.643,36459,2353726.3,84160604,84160604,2026-08-10
SZ159673,159673,SZ,沪深300ETF鹏华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:42+08:00,1.308,207840,27114349.3,2327623126,2327623126,2026-08-10
SZ159675,159675,SZ,创业板增强ETF嘉实,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:09+08:00,1.483,25702,3785707.5,94684643,94684643,2026-08-10
SZ159676,159676,SZ,创业板增强ETF富国,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:51+08:00,1.672,57038,9455202.5,218303314,218303314,2026-08-10
SZ159677,159677,SZ,中证1000增强ETF银华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:30+08:00,1.472,24897,3637836.1,48434822,48434822,2026-08-10
SZ159678,159678,SZ,500增强ETF博时,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:54+08:00,1.58,10380,1636060.5,147167037,147167037,2026-08-10
SZ159679,159679,SZ,中证1000增强ETF国泰,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:12+08:00,1.306,31613,4092673.4,72207638,72207638,2026-08-10
SZ159680,159680,SZ,中证1000增强ETF招商,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:57+08:00,1.683,320923,53641578.954,1934504289,1934504289,2026-08-10
SZ159681,159681,SZ,创业板50ETF鹏华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:15+08:00,1.673,342374,56854283.0,1742885118,1742885118,2026-08-10
SZ159682,159682,SZ,创业板50ETF景顺,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:00+08:00,1.652,881652,144440162.2,5126664261,5126664261,2026-08-10
SZ159685,159685,SZ,1000增强ETF天弘,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:03+08:00,1.496,8682,1295397.5,29082340,29082340,2026-08-10
SZ159686,159686,SZ,A100ETF易方达,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:45+08:00,1.315,44999,5904279.7,110217233,110217233,2026-08-10
SZ159689,159689,SZ,消费ETF南方,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:54+08:00,0.647,22013,1430386.4,60913618,60913618,2026-08-10
SZ159690,159690,SZ,有色矿业ETF招商,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:33+08:00,2.03,84677,17137994.3,562642888,562642888,2026-08-10
SZ159692,159692,SZ,证券ETF东财,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:21+08:00,1.22,290285,35409072.6,1918396281,1918396281,2026-08-10
SZ159695,159695,SZ,通信ETF嘉实,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:36+08:00,0.947,580177,53677379.3,810098134,810098134,2026-08-10
SZ159697,159697,SZ,石油ETF鹏华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:06+08:00,1.296,152469,19818762.116,1382860512,1382860512,2026-08-10
SZ159698,159698,SZ,粮食ETF鹏华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:09+08:00,0.876,232403,20360520.3,996401280,996401280,2026-08-10
SZ159701,159701,SZ,物联网ETF招商,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:42+08:00,1.294,248,31958.2,7383048,7383048,2026-08-10
SZ159703,159703,SZ,新材料ETF天弘,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:03+08:00,0.958,26257,2500498.6,58228764,58228764,2026-08-10
SZ159706,159706,SZ,深证100ETF华安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:24+08:00,0.958,19512,1863781.0,41085554,41085554,2026-08-10
SZ159707,159707,SZ,地产ETF华宝,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:06+08:00,0.502,1121173,56093084.0,576320200,576320200,2026-08-10
SZ159708,159708,SZ,红利ETF西部利得,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:54+08:00,0.831,19524,1623453.102,152096522,152096522,2026-08-10
SZ159709,159709,SZ,物联网ETF工银,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:09+08:00,1.766,448,79043.8,37940850,37940850,2026-08-10
SZ159713,159713,SZ,稀土ETF富国,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:12+08:00,1.317,336013,44058252.7,720734909,720734909,2026-08-10
SZ159715,159715,SZ,稀土ETF易方达,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:15+08:00,1.213,292974,35443449.0,650811220,650811220,2026-08-10
SZ159716,159716,SZ,深证100ETF华宝,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:57+08:00,1.153,22221,2549961.0,64183742,64183742,2026-08-10
SZ159717,159717,SZ,ESGETF鹏华,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:18+08:00,1.067,108,11513.2,24405686,24405686,2026-08-10
SZ159719,159719,SZ,国企ETF平安,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:48+08:00,1.58,2989,472371.7,42969658,42969658,2026-08-10
SZ159720,159720,SZ,智能车ETF泰康,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:00+08:00,0.745,722,53805.5,34130206,34130206,2026-08-10
SZ159721,159721,SZ,深证100ETF永赢,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:27+08:00,1.089,3915,425023.8,73433117,73433117,2026-08-10
SZ159723,159723,SZ,科技龙头ETF汇添富,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:51+08:00,1.11,2103,233015.6,34438388,34438388,2026-08-10
SZ159725,159725,SZ,线上消费ETF工银,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:54+08:00,0.809,106638,8614712.2,112794764,112794764,2026-08-10
SZ159728,159728,SZ,在线消费ETF南方,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:03+08:00,0.808,37409,3027931.1,39519384,39519384,2026-08-10
SZ159729,159729,SZ,互联网ETF汇添富,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:33+08:00,0.728,2217,161317.7,47291341,47291341,2026-08-10
SZ159730,159730,SZ,家电ETF博时,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:21+08:00,1.025,2110,216842.1,43635624,43635624,2026-08-10
SZ159731,159731,SZ,石化ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:43:36+08:00,0.95,374387,35635011.4,748007018,748007018,2026-08-10
SZ159732,159732,SZ,消费电子ETF华夏,指数型-股票,T+1,2026-08-12,20260812,2026-08-12T11:44:06+08:00,1.429,1333271,188955084.3,3650306055,3650306055,2026-08-10
